cu_id,cu_name,stream_id,stream_name,major_drainage,watershed_code,parkinson_cu,tautz_cu,phylogenetic_group,run_timing_full.x,run_timing,OBJECTID,parkinson2005cu,run_timing_full.y,COL_H,latitude,longitude,coord_certainty,comments_alternate,coord_source
681,North Coast Summer,9827,BISH CREEK,North Coast,910677700,N. Coast Summer,NA,North Coast,Summer,W CS,205,N. Coast Summer,Summer,NA,53.94125745,-128.769774,H,NA,FWA Streams_Line_BC
681,North Coast Summer,9828,KITKIATA CREEK,North Coast,9.11E+08,N. Coast Summer,NA,North Coast,Summer,CS,208,N. Coast Summer,Summer,NA,53.65745745,-129.2883991,H,NA,FWA Streams_Line_BC
681,North Coast Summer,9829,CANOONA RIVER,North Coast,9.15E+13,N. Coast Summer,NA,North Coast,Summer,W CS,231,N. Coast Summer,Summer,NA,53.06011638,-128.6936315,H,NA,FWA Streams_Line_BC
682,Central Coast Winter,9830,TAKUSH RIVER,Central Coast,910012400,Cent. Coast Winter,NA,South North Transition,Winter,NA,162,Cent. Coast Winter,Winter,NA,51.22250173,-127.5549759,H,NA,FWA Streams_Line_BC
682,Central Coast Winter,9831,SMOKEHOUSE CREEK,Central Coast,910025600,Cent. Coast Winter,NA,South North Transition,Winter,NA,163,Cent. Coast Winter,Winter,NA,51.33256846,-126.99606,H,NA,FWA Streams_Line_BC
682,Central Coast Winter,9832,NEKITE RIVER,Central Coast,910041700,Cent. Coast Winter,NA,South North Transition,Winter,NA,164,Cent. Coast Winter,Winter,NA,51.41088588,-127.1001094,H,NA,FWA Streams_Line_BC
682,Central Coast Winter,9833,LOCKHART GORDON CREEK,Central Coast,910107400,Cent. Coast Winter,NA,South North Transition,Winter,NA,165,Cent. Coast Winter,Winter,NA,51.40938762,-127.2433564,H,NA,FWA Streams_Line_BC
682,Central Coast Winter,9834,JOHNSTON CREEK,Central Coast,910118900,Cent. Coast Winter,NA,South North Transition,Winter,NA,166,Cent. Coast Winter,Winter,NA,51.48295,-127.53652,M,NA,ArcGIS world geocoding service
682,Central Coast Winter,9835,WANNOCK RIVER,Central Coast,910128800,Cent. Coast Winter,NA,South North Transition,Winter,NA,167,Cent. Coast Winter,Winter,NA,51.67637396,-127.1972052,H,NA,FWA Streams_Line_BC
682,Central Coast Winter,9836,KILBELLA RIVER,Central Coast,910130900,Cent. Coast Winter,NA,South North Transition,Winter,NA,168,Cent. Coast Winter,Winter,NA,51.8588349,-127.2623088,H,NA,FWA Streams_Line_BC
