OBJECTID,stream_name,parkinson2005cu,run_timing_full,COL_H,latitude,longitude,coord_uncertainty,Comments/Alternate,coord_source,
15,WEAVER CREEK,L. Fraser Winter,Winter,,49.31499393,-121.8801504,H,,FWA Streams_Line_BC,
9,COQUIHALLA RIVER,L. Fraser Summer,Summer,,49.37965455,-121.3350092,H,,FWA Streams_Line_BC,
107,LYNN CREEK,S. Coast  Winter,Winter,,49.37972075,-123.0371769,H,,FWA Streams_Line_BC,
300,ASH RIVER,W. Vancouver Is. Winter,Winter,,49.38416441,-125.0027644,H,,FWA Streams_Line_BC,
108,CAPILANO RIVER,S. Coast  Summer,Summer,,49.42780717,-123.1167008,H,,FWA Streams_Line_BC,
116,CHAPMAN CREEK,S. Coast  Winter,Winter,,49.43295,-123.71941,M,,ArcGIS world geocoding service ,
312,BEDWELL RIVER,W. Vancouver Is. Winter,Winter,,49.43740585,-125.6834244,H,,FWA Streams_Line_BC,
314,MOYEHA RIVER,W. Vancouver Is. Winter,Winter,,49.46267438,-125.8523619,H,,FWA Streams_Line_BC,
315,MEGIN RIVER,W. Vancouver Is. Winter,Winter,,49.47155013,-126.1113421,H,,FWA Streams_Line_BC,
105,INDIAN RIVER,S. Coast  Winter,Winter,,49.49665417,-122.8921593,H,,FWA Streams_Line_BC,
